run_name,benchmark,scenario,layer_idx,component,mean_weight_norm,mean_grad_norm,mean_bias_norm,mean_bias_grad_norm,max_grad_norm,n_rows
seq_film_r5pct_seed0,sdfc,shared_head,1,basal,9.451650141465544,0.28167153072233003,0.6585969602820849,0.014652196887975996,2.446108341217041,1584
seq_film_r5pct_seed0,sdfc,shared_head,1,beta,25.96458970777916,0.013483199051729525,12.781709101465013,0.01296229723809379,0.13004522025585175,1584
seq_film_r5pct_seed0,sdfc,shared_head,1,gamma,25.96871307642773,0.010956874858925172,13.339970533895974,0.010944153002734916,0.14178387820720673,1584
seq_film_r10pct_seed0,sdfc,shared_head,0,basal,8.999913571458874,0.13332834231168633,1.707598955568039,0.056898380887831064,0.7964847683906555,1584
seq_film_r10pct_seed0,sdfc,shared_head,0,beta,26.415083061565053,0.037590730037213735,13.188763388479599,0.03748265857891028,0.2557257413864136,1584
seq_film_r10pct_seed0,sdfc,shared_head,0,gamma,26.415622064561553,0.00864458244941856,12.462785243988037,0.008614111929541604,0.11576154828071594,1584
seq_film_r10pct_seed0,sdfc,shared_head,1,basal,9.421483455884337,0.2874885020457735,0.6642666100477329,0.014927949247144951,2.6594555377960205,1584
seq_film_r10pct_seed0,sdfc,shared_head,1,beta,25.964892719731186,0.013746651193254954,12.77971361803286,0.013018725609258168,0.11768694221973419,1584
seq_film_r10pct_seed0,sdfc,shared_head,1,gamma,25.969415936807188,0.011035383720901345,13.329415051021961,0.010975193822569146,0.15601031482219696,1584
seq_affine_r0pct_seed0,sdfc,shared_head,0,add,26.352024514265736,0.04437364254371083,0.35488504208883065,0.044373642472733496,0.48351404070854187,1584
seq_affine_r0pct_seed0,sdfc,shared_head,0,basal,8.711078058589589,0.16565628052510398,1.6210074735560802,0.07140468245823726,1.5795990228652954,1584
seq_affine_r0pct_seed0,sdfc,shared_head,0,gate,26.123793193788238,0.010324050851531957,1.4631282421289895,0.010324050869317631,0.21034272015094757,1584
seq_affine_r0pct_seed0,sdfc,shared_head,1,add,25.95321533776293,0.018877683938527567,0.12523562963340534,0.01887768389013548,0.2345159947872162,1584
seq_affine_r0pct_seed0,sdfc,shared_head,1,basal,9.018339979528177,0.3554274836517494,0.6794537326904259,0.01824590139216011,4.998769283294678,1584
seq_affine_r0pct_seed0,sdfc,shared_head,1,gate,25.86222519417002,0.021083926399583244,0.6742240414599596,0.02108392620754206,0.44423654675483704,1584
seq_affine_r2pct_seed0,sdfc,shared_head,0,add,26.441643528263977,0.03311938683870694,0.3404085740830392,0.03295852372083012,0.2582731544971466,1584
seq_affine_r2pct_seed0,sdfc,shared_head,0,basal,8.996530573175411,0.11883578635517018,1.70282774486325,0.050899512701870105,0.8121663928031921,1584
seq_affine_r2pct_seed0,sdfc,shared_head,0,gate,26.431266837649876,0.00788923106029879,1.5890081476448386,0.007831016741663623,0.127081498503685,1584
seq_affine_r2pct_seed0,sdfc,shared_head,1,add,25.967567346312784,0.012633928901295527,0.08203175596303702,0.01244070525070621,0.11879425495862961,1584
seq_affine_r2pct_seed0,sdfc,shared_head,1,basal,9.480649574236436,0.263450361142697,0.6674003460717322,0.013698813806168993,2.7239041328430176,1584
seq_affine_r2pct_seed0,sdfc,shared_head,1,gate,25.9676806107916,0.01039952438496226,0.9016288188156776,0.010388939820448726,0.16020599007606506,1584
